메뉴명,가격정보
숯불 직화 닭갈비(간장맛),"6,900원"
숯불 직화 닭갈비(고추장맛),"6,900원"
숯불 직화 닭갈비 덮밥(간장맛),"5,900원"
소확행 제육 도시락,"2,900원"
소확행 스팸 도시락,"2,900원"
멘치카츠,"2,800원"
스페셜 하이라이스,"5,900원"
송정식 떡갈비 Ⅱ,"6,900원"
이남장 설렁탕,"7,900원"
제육돈까스 도련님,"4,900원"
사골 조랭이떡 만둣국,"5,900원"
해바라기,"10,000원"
매화,"10,500원"
진달래,"8,000원"
개나리,"8,700원"
돈까스도련님 고기고기,"6,600원"
탕수육도련님 고기고기,"6,100원"
새치 고기고기,"7,100원"
돈치 고기고기,"6,100원"
카츠카츠,"4,900원"
숯불직화구이,"6,800원"
소불고기,"5,700원"
메가치킨제육,"7,800원"
칠리 찹쌀탕수육도련님,"4,500원"
동백,"6,200원"
치킨제육,"5,000원"
돈까스도련님,"4,900원"
제육볶음,"4,700원"
돈치스팸,"5,000원"
송정식 떡갈비,"6,900원"
제육 김치찌개 정식,"8,800원"
제육 김치 부대찌개 정식,"9,200원"
돈치스팸 김치 부대찌개 정식,"9,200원"
빅치킨마요 김치 부대찌개 정식,"8,200원"
치킨마요 김치 부대찌개 정식,"7,600원"
빅치킨마요 김치찌개 정식,"7,700원"
치킨마요 김치찌개 정식,"7,100원"
빅새치마요,"4,700원"
새치마요,"4,100원"
메가스팸마요,"5,900원"
스팸마요,"4,000원"
메가치킨마요,"6,200원"
왕치킨마요,"5,100원"
빅치킨마요,"4,400원"
치킨마요,"3,800원"
참치마요,"3,600원"
돈치마요,"4,100원"
돈까스 카레,"4,800원"
잡채볶음밥(중화풍 매운맛),"5,500원"
잡채볶음밥(오리지널),"5,300원"
스팸 김치볶음밥,"4,900원"
김치볶음밥,"4,100원"
스팸 철판볶음밥,"4,900원"
소불고기 철판볶음밥,"5,100원"
나시고랭,"6,300원"
묵은지 김치찌개,"5,000원"
김치 부대찌개,"6,100원"
핫 치즈 닭갈비덮밥,"6,100원"
오리지널 치즈 닭갈비덮밥,"6,100원"
숯불직화구이 덮밥,"6,000원"
마파두부 덮밥,"5,000원"
왕카레돈까스덮밥,"6,100원"
새우돈까스 덮밥,"4,400원"
돈까스 덮밥,"4,300원"
아보카도 소불고기 명란 비빔밥,"6,700원"
소불고기 감초고추장 비빔밥,"5,700원"
시골제육 두부강된장 비빔밥,"5,500원"
참치야채 감초고추장 비빔밥,"3,800원"
튼튼도시락,"5,300원"
반찬 묵은지김치찌개,"4,400원"
반찬 카레,"2,900원"
반찬 순살 고등어 간장구이,"3,900원"
반찬 김치 부대찌개,"4,900원"
반찬 치킨,"3,800원"
반찬 고기고기,"3,600원"
반찬 돈까스도련님,"4,100원"
반찬 제육볶음,"3,500원"
반찬 토네이도 소세지,"3,200원"
반찬 돈까스,"2,900원"
치즈버터 해시 포테이토 스틱,"2,200원"
허니버터 해시 포테이토 스틱,"2,200원"
해시 포테이토 스틱,"2,000원"
뉴 감자고로케,"2,700원"
미니 찹쌀핫도그,"2,800원"
미니 찹쌀탕수육,"2,300원"
케이준후라이,"1,900원"
통현미 닭강정(소),"3,500원"
통현미 닭강정(중),"8,500원"
후라이드 순살(중),"7,500원"
후라이드 순살(소)_양념치킨소스,"4,000원"
후라이드 순살(소)_케이준소스,"4,000원"
3종 미니반찬B,"1,300원"
3종 미니반찬A,"1,300원"
오징어젓갈,600원
한솥 두부강된장소스,"1,800원"
한솥 감초볶음고추장소스,500원
볶음김치,500원
김치,400원
무말랭이 무침,500원
한솥밥,"1,000원"
현미밥,"1,700원"
리얼꿀 미니호떡,"2,200원"
